cylinders,horsepower,acceleration,model_year,origin,name,brand,km_per_l,displacement_L,weight_kg
8,130.0,12.0,70,usa,chevrolet chevelle malibu,chevrolet,7.652592,5.0308397000000005,1589.386368
8,165.0,11.5,70,usa,buick skylark 320,buick,6.37716,5.735485000000001,1675.115256
8,150.0,11.0,70,usa,plymouth satellite,plymouth,7.652592,5.2110978,1558.542112
8,150.0,12.0,70,usa,amc rebel sst,amc,6.802304,4.981678400000001,1557.1813359999999
8,140.0,10.5,70,usa,ford torino,ford,7.227448000000001,4.9489042,1564.4388079999999
8,198.0,10.0,70,usa,ford galaxie 500,ford,6.37716,7.0300659,1969.042872
8,220.0,9.0,70,usa,chevrolet impala,chevrolet,5.952016,7.439743400000001,1974.939568
8,215.0,8.5,70,usa,plymouth fury iii,plymouth,5.952016,7.210324000000001,1955.888704
8,225.0,10.0,70,usa,pontiac catalina,pontiac,5.952016,7.4561305,2007.1446
8,190.0,8.5,70,usa,amc ambassador dpl,amc,6.37716,6.390969000000001,1746.3292
8,170.0,10.0,70,usa,dodge challenger se,dodge,6.37716,6.2762593,1616.148296
8,160.0,8.0,70,usa,plymouth 'cuda 340,plymouth,5.952016,5.571614,1637.013528
8,150.0,9.5,70,usa,chevrolet monte carlo,chevrolet,6.37716,6.55484,1705.959512
8,225.0,10.0,70,usa,buick estate wagon (sw),buick,5.952016,7.4561305,1399.784912
4,95.0,15.0,70,japan,toyota corona mark ii,toyota,10.203456000000001,1.8517423000000002,1075.920224
6,95.0,15.5,70,usa,plymouth duster,plymouth,9.353168,3.2446458000000002,1285.026136
6,97.0,15.5,70,usa,amc hornet,amc,7.652592,3.2610329000000005,1258.264208
6,85.0,16.0,70,usa,ford maverick,ford,8.928024,3.27742,1173.442504
4,88.0,14.5,70,japan,datsun pl510,datsun,11.478888000000001,1.5895487000000001,966.1509599999999
4,46.0,20.5,70,europe,volkswagen 1131 deluxe sedan,volkswagen,11.053744,1.5895487000000001,832.34132
4,87.0,17.5,70,europe,peugeot 504,peugeot,10.6286,1.8025810000000002,1211.997824
4,90.0,14.5,70,europe,audi 100 ls,audi,10.203456000000001,1.7534197000000002,1102.22856
4,95.0,17.5,70,europe,saab 99e,saab,10.6286,1.7042584,1077.281
4,113.0,12.5,70,europe,bmw 2002,bmw,11.053744,1.9828391000000003,1013.324528
6,90.0,15.0,70,usa,amc gremlin,amc,8.928024,3.2610329000000005,1201.111616
8,215.0,14.0,70,usa,ford f250,ford,4.2514400000000006,5.899356000000001,2093.32708
8,200.0,15.0,70,usa,chevy c20,chevrolet,4.2514400000000006,5.0308397000000005,1984.918592
8,210.0,13.5,70,usa,dodge d200,dodge,4.676584,5.2110978,1987.640144
4,88.0,14.5,71,japan,datsun pl510,datsun,11.478888000000001,1.5895487000000001,966.1509599999999
4,90.0,15.5,71,usa,chevrolet vega 2300,chevrolet,11.904032,2.294194,1026.932288
4,95.0,14.0,71,japan,toyota corona,toyota,10.6286,1.8517423000000002,1010.602976
6,100.0,13.0,71,usa,amc gremlin,amc,8.077736,3.8018072000000003,1194.761328
6,105.0,15.5,71,usa,plymouth satellite custom,plymouth,6.802304,3.6870975000000006,1559.902888
6,100.0,15.5,71,usa,chevrolet chevelle malibu,chevrolet,7.227448000000001,4.096775,1510.007768
6,88.0,15.5,71,usa,ford torino 500,ford,8.077736,4.096775,1497.760784
6,100.0,15.5,71,usa,amc matador,amc,7.652592,3.8018072000000003,1491.410496
8,165.0,12.0,71,usa,chevrolet impala,chevrolet,5.952016,5.735485000000001,1909.1687279999999
8,175.0,11.5,71,usa,pontiac catalina brougham,pontiac,5.952016,6.55484,2024.834688
8,153.0,13.5,71,usa,ford galaxie 500,ford,5.952016,5.751872100000001,1884.221168
8,150.0,13.0,71,usa,plymouth fury iii,plymouth,5.952016,5.2110978,1857.912832
8,180.0,11.5,71,usa,dodge monaco (sw),dodge,5.1017280000000005,6.2762593,2247.54836
8,170.0,12.0,71,usa,ford country squire (sw),ford,5.526872,6.55484,2152.747632
8,175.0,12.0,71,usa,pontiac safari (sw),pontiac,5.526872,6.55484,2331.46288
6,110.0,13.5,71,usa,amc hornet sportabout (sw),amc,7.652592,4.227871800000001,1343.539504
4,72.0,19.0,71,usa,chevrolet vega (sw),chevrolet,9.353168,2.294194,1092.249536
6,100.0,15.0,71,usa,pontiac firebird,pontiac,8.077736,4.096775,1488.688944
6,88.0,14.5,71,usa,ford mustang,ford,7.652592,4.096775,1423.825288
